fullname,identifier,fsf_free,osi_approved,url
BSD 3-Clause Open MPI variant,BSD-3-Clause-Open-MPI,,,https://spdx.org/licenses/BSD-3-Clause-Open-MPI.html
"BSD 4-Clause ""Original"" or ""Old"" License",BSD-4-Clause,Y,,https://spdx.org/licenses/BSD-4-Clause.html
BSD 4 Clause Shortened,BSD-4-Clause-Shortened,,,https://spdx.org/licenses/BSD-4-Clause-Shortened.html
BSD-4-Clause (University of California-Specific),BSD-4-Clause-UC,,,https://spdx.org/licenses/BSD-4-Clause-UC.html
BSD 4.3 RENO License,BSD-4.3RENO,,,https://spdx.org/licenses/BSD-4.3RENO.html
BSD 4.3 TAHOE License,BSD-4.3TAHOE,,,https://spdx.org/licenses/BSD-4.3TAHOE.html
BSD Advertising Acknowledgement License,BSD-Advertising-Acknowledgement,,,https://spdx.org/licenses/BSD-Advertising-Acknowledgement.html
BSD with Attribution and HPND disclaimer,BSD-Attribution-HPND-disclaimer,,,https://spdx.org/licenses/BSD-Attribution-HPND-disclaimer.html
BSD Protection License,BSD-Protection,,,https://spdx.org/licenses/BSD-Protection.html
BSD Source Code Attribution,BSD-Source-Code,,,https://spdx.org/licenses/BSD-Source-Code.html
Boost Software License 1.0,BSL-1.0,Y,Y,https://spdx.org/licenses/BSL-1.0.html
Business Source License 1.1,BUSL-1.1,,,https://spdx.org/licenses/BUSL-1.1.html
bzip2 and libbzip2 License v1.0.6,bzip2-1.0.6,,,https://spdx.org/licenses/bzip2-1.0.6.html
Computational Use of Data Agreement v1.0,C-UDA-1.0,,,https://spdx.org/licenses/C-UDA-1.0.html
Cryptographic Autonomy License 1.0,CAL-1.0,,Y,https://spdx.org/licenses/CAL-1.0.html
Cryptographic Autonomy License 1.0 (Combined Work Exception),CAL-1.0-Combined-Work-Exception,,Y,https://spdx.org/licenses/CAL-1.0-Combined-Work-Exception.html
Caldera License,Caldera,,,https://spdx.org/licenses/Caldera.html
Computer Associates Trusted Open Source License 1.1,CATOSL-1.1,,Y,https://spdx.org/licenses/CATOSL-1.1.html
Creative Commons Attribution 1.0 Generic,CC-BY-1.0,,,https://spdx.org/licenses/CC-BY-1.0.html
Creative Commons Attribution 2.0 Generic,CC-BY-2.0,,,https://spdx.org/licenses/CC-BY-2.0.html
Creative Commons Attribution 2.5 Generic,CC-BY-2.5,,,https://spdx.org/licenses/CC-BY-2.5.html
Creative Commons Attribution 2.5 Australia,CC-BY-2.5-AU,,,https://spdx.org/licenses/CC-BY-2.5-AU.html
Creative Commons Attribution 3.0 Unported,CC-BY-3.0,,,https://spdx.org/licenses/CC-BY-3.0.html
Creative Commons Attribution 3.0 Austria,CC-BY-3.0-AT,,,https://spdx.org/licenses/CC-BY-3.0-AT.html
Creative Commons Attribution 3.0 Germany,CC-BY-3.0-DE,,,https://spdx.org/licenses/CC-BY-3.0-DE.html
Creative Commons Attribution 3.0 IGO,CC-BY-3.0-IGO,,,https://spdx.org/licenses/CC-BY-3.0-IGO.html
Creative Commons Attribution 3.0 Netherlands,CC-BY-3.0-NL,,,https://spdx.org/licenses/CC-BY-3.0-NL.html
Creative Commons Attribution 3.0 United States,CC-BY-3.0-US,,,https://spdx.org/licenses/CC-BY-3.0-US.html
Creative Commons Attribution 4.0 International,CC-BY-4.0,Y,,https://spdx.org/licenses/CC-BY-4.0.html
Creative Commons Attribution Non Commercial 1.0 Generic,CC-BY-NC-1.0,,,https://spdx.org/licenses/CC-BY-NC-1.0.html
Creative Commons Attribution Non Commercial 2.0 Generic,CC-BY-NC-2.0,,,https://spdx.org/licenses/CC-BY-NC-2.0.html
Creative Commons Attribution Non Commercial 2.5 Generic,CC-BY-NC-2.5,,,https://spdx.org/licenses/CC-BY-NC-2.5.html
Creative Commons Attribution Non Commercial 3.0 Unported,CC-BY-NC-3.0,,,https://spdx.org/licenses/CC-BY-NC-3.0.html
Creative Commons Attribution Non Commercial 3.0 Germany,CC-BY-NC-3.0-DE,,,https://spdx.org/licenses/CC-BY-NC-3.0-DE.html
Creative Commons Attribution Non Commercial 4.0 International,CC-BY-NC-4.0,,,https://spdx.org/licenses/CC-BY-NC-4.0.html
Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic,CC-BY-NC-ND-1.0,,,https://spdx.org/licenses/CC-BY-NC-ND-1.0.html
Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic,CC-BY-NC-ND-2.0,,,https://spdx.org/licenses/CC-BY-NC-ND-2.0.html
Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic,CC-BY-NC-ND-2.5,,,https://spdx.org/licenses/CC-BY-NC-ND-2.5.html
Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported,CC-BY-NC-ND-3.0,,,https://spdx.org/licenses/CC-BY-NC-ND-3.0.html
Creative Commons Attribution Non Commercial No Derivatives 3.0 Germany,CC-BY-NC-ND-3.0-DE,,,https://spdx.org/licenses/CC-BY-NC-ND-3.0-DE.html
Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO,CC-BY-NC-ND-3.0-IGO,,,https://spdx.org/licenses/CC-BY-NC-ND-3.0-IGO.html
Creative Commons Attribution Non Commercial No Derivatives 4.0 International,CC-BY-NC-ND-4.0,,,https://spdx.org/licenses/CC-BY-NC-ND-4.0.html
Creative Commons Attribution Non Commercial Share Alike 1.0 Generic,CC-BY-NC-SA-1.0,,,https://spdx.org/licenses/CC-BY-NC-SA-1.0.html
Creative Commons Attribution Non Commercial Share Alike 2.0 Generic,CC-BY-NC-SA-2.0,,,https://spdx.org/licenses/CC-BY-NC-SA-2.0.html
Creative Commons Attribution Non Commercial Share Alike 2.0 Germany,CC-BY-NC-SA-2.0-DE,,,https://spdx.org/licenses/CC-BY-NC-SA-2.0-DE.html
Creative Commons Attribution-NonCommercial-ShareAlike 2.0 France,CC-BY-NC-SA-2.0-FR,,,https://spdx.org/licenses/CC-BY-NC-SA-2.0-FR.html
Creative Commons Attribution Non Commercial Share Alike 2.0 England and Wales,CC-BY-NC-SA-2.0-UK,,,https://spdx.org/licenses/CC-BY-NC-SA-2.0-UK.html
Creative Commons Attribution Non Commercial Share Alike 2.5 Generic,CC-BY-NC-SA-2.5,,,https://spdx.org/licenses/CC-BY-NC-SA-2.5.html
Creative Commons Attribution Non Commercial Share Alike 3.0 Unported,CC-BY-NC-SA-3.0,,,https://spdx.org/licenses/CC-BY-NC-SA-3.0.html
Creative Commons Attribution Non Commercial Share Alike 3.0 Germany,CC-BY-NC-SA-3.0-DE,,,https://spdx.org/licenses/CC-BY-NC-SA-3.0-DE.html
Creative Commons Attribution Non Commercial Share Alike 3.0 IGO,CC-BY-NC-SA-3.0-IGO,,,https://spdx.org/licenses/CC-BY-NC-SA-3.0-IGO.html
Creative Commons Attribution Non Commercial Share Alike 4.0 International,CC-BY-NC-SA-4.0,,,https://spdx.org/licenses/CC-BY-NC-SA-4.0.html
Creative Commons Attribution No Derivatives 1.0 Generic,CC-BY-ND-1.0,,,https://spdx.org/licenses/CC-BY-ND-1.0.html
Creative Commons Attribution No Derivatives 2.0 Generic,CC-BY-ND-2.0,,,https://spdx.org/licenses/CC-BY-ND-2.0.html
Creative Commons Attribution No Derivatives 2.5 Generic,CC-BY-ND-2.5,,,https://spdx.org/licenses/CC-BY-ND-2.5.html
Creative Commons Attribution No Derivatives 3.0 Unported,CC-BY-ND-3.0,,,https://spdx.org/licenses/CC-BY-ND-3.0.html
Creative Commons Attribution No Derivatives 3.0 Germany,CC-BY-ND-3.0-DE,,,https://spdx.org/licenses/CC-BY-ND-3.0-DE.html
Creative Commons Attribution No Derivatives 4.0 International,CC-BY-ND-4.0,,,https://spdx.org/licenses/CC-BY-ND-4.0.html
Creative Commons Attribution Share Alike 1.0 Generic,CC-BY-SA-1.0,,,https://spdx.org/licenses/CC-BY-SA-1.0.html
Creative Commons Attribution Share Alike 2.0 Generic,CC-BY-SA-2.0,,,https://spdx.org/licenses/CC-BY-SA-2.0.html
Creative Commons Attribution Share Alike 2.0 England and Wales,CC-BY-SA-2.0-UK,,,https://spdx.org/licenses/CC-BY-SA-2.0-UK.html
Creative Commons Attribution Share Alike 2.1 Japan,CC-BY-SA-2.1-JP,,,https://spdx.org/licenses/CC-BY-SA-2.1-JP.html
Creative Commons Attribution Share Alike 2.5 Generic,CC-BY-SA-2.5,,,https://spdx.org/licenses/CC-BY-SA-2.5.html
Creative Commons Attribution Share Alike 3.0 Unported,CC-BY-SA-3.0,,,https://spdx.org/licenses/CC-BY-SA-3.0.html
Creative Commons Attribution Share Alike 3.0 Austria,CC-BY-SA-3.0-AT,,,https://spdx.org/licenses/CC-BY-SA-3.0-AT.html
Creative Commons Attribution Share Alike 3.0 Germany,CC-BY-SA-3.0-DE,,,https://spdx.org/licenses/CC-BY-SA-3.0-DE.html
Creative Commons Attribution Share Alike 4.0 International,CC-BY-SA-4.0,Y,,https://spdx.org/licenses/CC-BY-SA-4.0.html
Creative Commons Public Domain Dedication and Certification,CC-PDDC,,,https://spdx.org/licenses/CC-PDDC.html
Creative Commons Zero v1.0 Universal,CC0-1.0,Y,,https://spdx.org/licenses/CC0-1.0.html
Common Development and Distribution License 1.0,CDDL-1.0,Y,Y,https://spdx.org/licenses/CDDL-1.0.html
Common Development and Distribution License 1.1,CDDL-1.1,,,https://spdx.org/licenses/CDDL-1.1.html
Common Documentation License 1.0,CDL-1.0,,,https://spdx.org/licenses/CDL-1.0.html
Community Data License Agreement Permissive 1.0,CDLA-Permissive-1.0,,,https://spdx.org/licenses/CDLA-Permissive-1.0.html
Community Data License Agreement Permissive 2.0,CDLA-Permissive-2.0,,,https://spdx.org/licenses/CDLA-Permissive-2.0.html
Community Data License Agreement Sharing 1.0,CDLA-Sharing-1.0,,,https://spdx.org/licenses/CDLA-Sharing-1.0.html
CeCILL Free Software License Agreement v1.0,CECILL-1.0,,,https://spdx.org/licenses/CECILL-1.0.html
CeCILL Free Software License Agreement v1.1,CECILL-1.1,,,https://spdx.org/licenses/CECILL-1.1.html
CeCILL Free Software License Agreement v2.0,CECILL-2.0,Y,,https://spdx.org/licenses/CECILL-2.0.html
CeCILL Free Software License Agreement v2.1,CECILL-2.1,,Y,https://spdx.org/licenses/CECILL-2.1.html
CeCILL-B Free Software License Agreement,CECILL-B,Y,,https://spdx.org/licenses/CECILL-B.html
CeCILL-C Free Software License Agreement,CECILL-C,Y,,https://spdx.org/licenses/CECILL-C.html
CERN Open Hardware Licence v1.1,CERN-OHL-1.1,,,https://spdx.org/licenses/CERN-OHL-1.1.html
CERN Open Hardware Licence v1.2,CERN-OHL-1.2,,,https://spdx.org/licenses/CERN-OHL-1.2.html
CERN Open Hardware Licence Version 2 - Permissive,CERN-OHL-P-2.0,,Y,https://spdx.org/licenses/CERN-OHL-P-2.0.html
CERN Open Hardware Licence Version 2 - Strongly Reciprocal,CERN-OHL-S-2.0,,Y,https://spdx.org/licenses/CERN-OHL-S-2.0.html
CERN Open Hardware Licence Version 2 - Weakly Reciprocal,CERN-OHL-W-2.0,,Y,https://spdx.org/licenses/CERN-OHL-W-2.0.html
CFITSIO License,CFITSIO,,,https://spdx.org/licenses/CFITSIO.html
Checkmk License,checkmk,,,https://spdx.org/licenses/checkmk.html
Clarified Artistic License,ClArtistic,Y,,https://spdx.org/licenses/ClArtistic.html
Clips License,Clips,,,https://spdx.org/licenses/Clips.html
CMU Mach License,CMU-Mach,,,https://spdx.org/licenses/CMU-Mach.html
CNRI Jython License,CNRI-Jython,,,https://spdx.org/licenses/CNRI-Jython.html
CNRI Python License,CNRI-Python,,Y,https://spdx.org/licenses/CNRI-Python.html
CNRI Python Open Source GPL Compatible License Agreement,CNRI-Python-GPL-Compatible,,,https://spdx.org/licenses/CNRI-Python-GPL-Compatible.html
Copyfree Open Innovation License,COIL-1.0,,,https://spdx.org/licenses/COIL-1.0.html
Community Specification License 1.0,Community-Spec-1.0,,,https://spdx.org/licenses/Community-Spec-1.0.html
Condor Public License v1.1,Condor-1.1,Y,,https://spdx.org/licenses/Condor-1.1.html
copyleft-next 0.3.0,copyleft-next-0.3.0,,,https://spdx.org/licenses/copyleft-next-0.3.0.html
copyleft-next 0.3.1,copyleft-next-0.3.1,,,https://spdx.org/licenses/copyleft-next-0.3.1.html
Cornell Lossless JPEG License,Cornell-Lossless-JPEG,,,https://spdx.org/licenses/Cornell-Lossless-JPEG.html
Common Public Attribution License 1.0,CPAL-1.0,Y,Y,https://spdx.org/licenses/CPAL-1.0.html
Common Public License 1.0,CPL-1.0,Y,Y,https://spdx.org/licenses/CPL-1.0.html
Code Project Open License 1.02,CPOL-1.02,,,https://spdx.org/licenses/CPOL-1.02.html
Crossword License,Crossword,,,https://spdx.org/licenses/Crossword.html
CrystalStacker License,CrystalStacker,,,https://spdx.org/licenses/CrystalStacker.html
CUA Office Public License v1.0,CUA-OPL-1.0,,Y,https://spdx.org/licenses/CUA-OPL-1.0.html
Cube License,Cube,,,https://spdx.org/licenses/Cube.html
curl License,curl,,,https://spdx.org/licenses/curl.html
Deutsche Freie Software Lizenz,D-FSL-1.0,,,https://spdx.org/licenses/D-FSL-1.0.html
diffmark license,diffmark,,,https://spdx.org/licenses/diffmark.html
Data licence Germany – attribution – version 2.0,DL-DE-BY-2.0,,,https://spdx.org/licenses/DL-DE-BY-2.0.html
DOC License,DOC,,,https://spdx.org/licenses/DOC.html
Dotseqn License,Dotseqn,,,https://spdx.org/licenses/Dotseqn.html
Detection Rule License 1.0,DRL-1.0,,,https://spdx.org/licenses/DRL-1.0.html
DSDP License,DSDP,,,https://spdx.org/licenses/DSDP.html
dvipdfm License,dvipdfm,,,https://spdx.org/licenses/dvipdfm.html
Educational Community License v1.0,ECL-1.0,,Y,https://spdx.org/licenses/ECL-1.0.html
Educational Community License v2.0,ECL-2.0,Y,Y,https://spdx.org/licenses/ECL-2.0.html
Eiffel Forum License v1.0,EFL-1.0,,Y,https://spdx.org/licenses/EFL-1.0.html
Eiffel Forum License v2.0,EFL-2.0,Y,Y,https://spdx.org/licenses/EFL-2.0.html
eGenix.com Public License 1.1.0,eGenix,,,https://spdx.org/licenses/eGenix.html
Elastic License 2.0,Elastic-2.0,,,https://spdx.org/licenses/Elastic-2.0.html
Entessa Public License v1.0,Entessa,,Y,https://spdx.org/licenses/Entessa.html
EPICS Open License,EPICS,,,https://spdx.org/licenses/EPICS.html
Eclipse Public License 1.0,EPL-1.0,Y,Y,https://spdx.org/licenses/EPL-1.0.html
Eclipse Public License 2.0,EPL-2.0,Y,Y,https://spdx.org/licenses/EPL-2.0.html
Erlang Public License v1.1,ErlPL-1.1,,,https://spdx.org/licenses/ErlPL-1.1.html
Etalab Open License 2.0,etalab-2.0,,,https://spdx.org/licenses/etalab-2.0.html
EU DataGrid Software License,EUDatagrid,Y,Y,https://spdx.org/licenses/EUDatagrid.html
European Union Public License 1.0,EUPL-1.0,,,https://spdx.org/licenses/EUPL-1.0.html
European Union Public License 1.1,EUPL-1.1,Y,Y,https://spdx.org/licenses/EUPL-1.1.html
European Union Public License 1.2,EUPL-1.2,Y,Y,https://spdx.org/licenses/EUPL-1.2.html
Eurosym License,Eurosym,,,https://spdx.org/licenses/Eurosym.html
Fair License,Fair,,Y,https://spdx.org/licenses/Fair.html
Fraunhofer FDK AAC Codec Library,FDK-AAC,,,https://spdx.org/licenses/FDK-AAC.html
Frameworx Open License 1.0,Frameworx-1.0,,Y,https://spdx.org/licenses/Frameworx-1.0.html
FreeBSD Documentation License,FreeBSD-DOC,,,https://spdx.org/licenses/FreeBSD-DOC.html
FreeImage Public License v1.0,FreeImage,,,https://spdx.org/licenses/FreeImage.html
FSF All Permissive License,FSFAP,Y,,https://spdx.org/licenses/FSFAP.html
FSF Unlimited License,FSFUL,,,https://spdx.org/licenses/FSFUL.html
FSF Unlimited License (with License Retention),FSFULLR,,,https://spdx.org/licenses/FSFULLR.html
FSF Unlimited License (With License Retention and Warranty Disclaimer),FSFULLRWD,,,https://spdx.org/licenses/FSFULLRWD.html
Freetype Project License,FTL,Y,,https://spdx.org/licenses/FTL.html
GD License,GD,,,https://spdx.org/licenses/GD.html
GNU Free Documentation License v1.1 only - invariants,GFDL-1.1-invariants-only,,,https://spdx.org/licenses/GFDL-1.1-invariants-only.html
GNU Free Documentation License v1.1 or later - invariants,GFDL-1.1-invariants-or-later,,,https://spdx.org/licenses/GFDL-1.1-invariants-or-later.html
GNU Free Documentation License v1.1 only - no invariants,GFDL-1.1-no-invariants-only,,,https://spdx.org/licenses/GFDL-1.1-no-invariants-only.html
GNU Free Documentation License v1.1 or later - no invariants,GFDL-1.1-no-invariants-or-later,,,https://spdx.org/licenses/GFDL-1.1-no-invariants-or-later.html
GNU Free Documentation License v1.1 only,GFDL-1.1-only,Y,,https://spdx.org/licenses/GFDL-1.1-only.html
GNU Free Documentation License v1.1 or later,GFDL-1.1-or-later,Y,,https://spdx.org/licenses/GFDL-1.1-or-later.html
GNU Free Documentation License v1.2 only - invariants,GFDL-1.2-invariants-only,,,https://spdx.org/licenses/GFDL-1.2-invariants-only.html
GNU Free Documentation License v1.2 or later - invariants,GFDL-1.2-invariants-or-later,,,https://spdx.org/licenses/GFDL-1.2-invariants-or-later.html
GNU Free Documentation License v1.2 only - no invariants,GFDL-1.2-no-invariants-only,,,https://spdx.org/licenses/GFDL-1.2-no-invariants-only.html
GNU Free Documentation License v1.2 or later - no invariants,GFDL-1.2-no-invariants-or-later,,,https://spdx.org/licenses/GFDL-1.2-no-invariants-or-later.html
GNU Free Documentation License v1.2 only,GFDL-1.2-only,Y,,https://spdx.org/licenses/GFDL-1.2-only.html
GNU Free Documentation License v1.2 or later,GFDL-1.2-or-later,Y,,https://spdx.org/licenses/GFDL-1.2-or-later.html
GNU Free Documentation License v1.3 only - invariants,GFDL-1.3-invariants-only,,,https://spdx.org/licenses/GFDL-1.3-invariants-only.html
GNU Free Documentation License v1.3 or later - invariants,GFDL-1.3-invariants-or-later,,,https://spdx.org/licenses/GFDL-1.3-invariants-or-later.html
GNU Free Documentation License v1.3 only - no invariants,GFDL-1.3-no-invariants-only,,,https://spdx.org/licenses/GFDL-1.3-no-invariants-only.html
GNU Free Documentation License v1.3 or later - no invariants,GFDL-1.3-no-invariants-or-later,,,https://spdx.org/licenses/GFDL-1.3-no-invariants-or-later.html
GNU Free Documentation License v1.3 only,GFDL-1.3-only,Y,,https://spdx.org/licenses/GFDL-1.3-only.html
GNU Free Documentation License v1.3 or later,GFDL-1.3-or-later,Y,,https://spdx.org/licenses/GFDL-1.3-or-later.html
Giftware License,Giftware,,,https://spdx.org/licenses/Giftware.html
GL2PS License,GL2PS,,,https://spdx.org/licenses/GL2PS.html
3dfx Glide License,Glide,,,https://spdx.org/licenses/Glide.html
Glulxe License,Glulxe,,,https://spdx.org/licenses/Glulxe.html
Good Luck With That Public License,GLWTPL,,,https://spdx.org/licenses/GLWTPL.html
gnuplot License,gnuplot,Y,,https://spdx.org/licenses/gnuplot.html
GNU General Public License v1.0 only,GPL-1.0-only,,,https://spdx.org/licenses/GPL-1.0-only.html
GNU General Public License v1.0 or later,GPL-1.0-or-later,,,https://spdx.org/licenses/GPL-1.0-or-later.html
GNU General Public License v2.0 only,GPL-2.0-only,Y,Y,https://spdx.org/licenses/GPL-2.0-only.html
GNU General Public License v2.0 or later,GPL-2.0-or-later,Y,Y,https://spdx.org/licenses/GPL-2.0-or-later.html
GNU General Public License v3.0 only,GPL-3.0-only,Y,Y,https://spdx.org/licenses/GPL-3.0-only.html
GNU General Public License v3.0 or later,GPL-3.0-or-later,Y,Y,https://spdx.org/licenses/GPL-3.0-or-later.html
Graphics Gems License,Graphics-Gems,,,https://spdx.org/licenses/Graphics-Gems.html
gSOAP Public License v1.3b,gSOAP-1.3b,,,https://spdx.org/licenses/gSOAP-1.3b.html
Haskell Language Report License,HaskellReport,,,https://spdx.org/licenses/HaskellReport.html
Hippocratic License 2.1,Hippocratic-2.1,,,https://spdx.org/licenses/Hippocratic-2.1.html
Hewlett-Packard 1986 License,HP-1986,,,https://spdx.org/licenses/HP-1986.html
Historical Permission Notice and Disclaimer,HPND,Y,Y,https://spdx.org/licenses/HPND.html
HPND with US Government export control warning,HPND-export-US,,,https://spdx.org/licenses/HPND-export-US.html
Historical Permission Notice and Disclaimer - Markus Kuhn variant,HPND-Markus-Kuhn,,,https://spdx.org/licenses/HPND-Markus-Kuhn.html
Historical Permission Notice and Disclaimer - sell variant,HPND-sell-variant,,,https://spdx.org/licenses/HPND-sell-variant.html
HPND sell variant with MIT disclaimer,HPND-sell-variant-MIT-disclaimer,,,https://spdx.org/licenses/HPND-sell-variant-MIT-disclaimer.html
HTML Tidy License,HTMLTIDY,,,https://spdx.org/licenses/HTMLTIDY.html
IBM PowerPC Initialization and Boot Software,IBM-pibs,,,https://spdx.org/licenses/IBM-pibs.html
ICU License,ICU,,,https://spdx.org/licenses/ICU.html
IEC Code Components End-user licence agreement,IEC-Code-Components-EULA,,,https://spdx.org/licenses/IEC-Code-Components-EULA.html
Independent JPEG Group License,IJG,Y,,https://spdx.org/licenses/IJG.html
Independent JPEG Group License - short,IJG-short,,,https://spdx.org/licenses/IJG-short.html
ImageMagick License,ImageMagick,,,https://spdx.org/licenses/ImageMagick.html
iMatix Standard Function Library Agreement,iMatix,Y,,https://spdx.org/licenses/iMatix.html
Imlib2 License,Imlib2,Y,,https://spdx.org/licenses/Imlib2.html
Info-ZIP License,Info-ZIP,,,https://spdx.org/licenses/Info-ZIP.html
Intel Open Source License,Intel,Y,Y,https://spdx.org/licenses/Intel.html
